Pair,Pearson,Pearson p-value,Spearman,Spearman p-value
sepal_length x sepal_length,0.9999999999999997,0.0,0.9999999999999999,0.0
sepal_length x sepal_width,0.7425466856651595,6.709843017660669e-10,0.7553374950614067,2.3167096411738225e-10
sepal_length x petal_length,0.26717575886875716,0.060697783801134664,0.2788848830878735,0.049850951815127637
sepal_length x petal_width,0.2780983529359695,0.05052644176398285,0.29949890814809577,0.034602275520946954
sepal_width x sepal_length,0.7425466856651595,6.709843017660669e-10,0.7553374950614066,2.316709641173839e-10
sepal_width x sepal_width,0.9999999999999998,0.0,1.0,0.0
sepal_width x petal_length,0.1776999667822707,0.21697892419686096,0.1799110105560924,0.2112201977759922
sepal_width x petal_width,0.2327520113628793,0.10382114330524589,0.2865358680853434,0.04365513930346171
petal_length x sepal_length,0.26717575886875716,0.060697783801134664,0.2788848830878735,0.049850951815127637
petal_length x sepal_width,0.1776999667822707,0.21697892419686096,0.1799110105560924,0.2112201977759922
petal_length x petal_length,1.0,0.0,1.0,0.0
petal_length x petal_width,0.33163004080411873,0.018638915007537143,0.2711413763783511,0.05683017838511974
petal_width x sepal_length,0.2780983529359695,0.05052644176398285,0.29949890814809577,0.034602275520946954
petal_width x sepal_width,0.2327520113628793,0.10382114330524589,0.2865358680853435,0.04365513930346166
petal_width x petal_length,0.33163004080411873,0.018638915007537143,0.2711413763783511,0.05683017838511974
petal_width x petal_width,0.9999999999999997,0.0,1.0,0.0
