Pair,Pearson,Pearson p-value,Spearman,Spearman p-value
sepal_length x sepal_length,1.0,0.0,1.0,0.0
sepal_length x sepal_width,0.5259107172828248,8.771860011973769e-05,0.5176060253966389,0.00011838632036683748
sepal_length x petal_length,0.7540489585920163,2.5861895052809083e-10,0.7366250971564233,1.0752134034179515e-09
sepal_length x petal_width,0.5464610715986298,4.035421526067972e-05,0.5486790816778081,3.699680367553424e-05
sepal_width x sepal_length,0.5259107172828248,8.771860011973769e-05,0.5176060253966389,0.00011838632036683748
sepal_width x sepal_width,1.0,0.0,1.0,0.0
sepal_width x petal_length,0.5605220916929821,2.3021679804283712e-05,0.5747271849206077,1.2717097063157972e-05
sepal_width x petal_width,0.6639987200241115,1.466660814217946e-07,0.6599825558991251,1.8510085502477965e-07
petal_length x sepal_length,0.7540489585920163,2.5861895052809083e-10,0.7366250971564232,1.0752134034179555e-09
petal_length x sepal_width,0.5605220916929821,2.3021679804283712e-05,0.5747271849206076,1.271709706315802e-05
petal_length x petal_length,1.0,0.0,1.0,0.0
petal_length x petal_width,0.7866680885228168,1.2719157063236567e-11,0.7870095905337962,1.2290648299263055e-11
petal_width x sepal_length,0.5464610715986298,4.035421526067972e-05,0.5486790816778081,3.699680367553424e-05
petal_width x sepal_width,0.6639987200241115,1.466660814217946e-07,0.6599825558991251,1.8510085502477965e-07
petal_width x petal_length,0.7866680885228168,1.2719157063236567e-11,0.787009590533796,1.229064829926314e-11
petal_width x petal_width,0.9999999999999998,0.0,0.9999999999999999,0.0
