Pair,Pearson,Pearson p-value,Spearman,Spearman p-value
sepal_length x sepal_length,1.0,0.0,1.0,0.0
sepal_length x sepal_width,0.4572278163941131,0.0008434624723708779,0.426516535285076,0.0020106751838450433
sepal_length x petal_length,0.8642247329355763,6.297785758903817e-16,0.8243233745595462,1.8990265817749758e-13
sepal_length x petal_width,0.2811077091573194,0.04798149336918843,0.3157720587419853,0.025491815451216066
sepal_width x sepal_length,0.4572278163941131,0.0008434624723708779,0.42651653528507594,0.0020106751838450433
sepal_width x sepal_width,1.0,0.0,0.9999999999999999,0.0
sepal_width x petal_length,0.40104457734278554,0.003897704068338329,0.3873586680220017,0.005449789148094979
sepal_width x petal_width,0.5377280262661887,5.6476104022877205e-05,0.5443097621118014,4.3875834636564305e-05
petal_length x sepal_length,0.8642247329355763,6.297785758903817e-16,0.8243233745595463,1.8990265817749622e-13
petal_length x sepal_width,0.40104457734278554,0.003897704068338329,0.3873586680220017,0.005449789148094979
petal_length x petal_length,1.0,0.0,1.0,0.0
petal_length x petal_width,0.32210821590031835,0.0225357672798739,0.3629133150909171,0.009590655267572119
petal_width x sepal_length,0.2811077091573194,0.04798149336918843,0.31577205874198533,0.02549181545121604
petal_width x sepal_width,0.5377280262661887,5.6476104022877205e-05,0.5443097621118015,4.387583463656414e-05
petal_width x petal_length,0.32210821590031835,0.0225357672798739,0.3629133150909172,0.009590655267572102
petal_width x petal_width,0.9999999999999999,0.0,0.9999999999999999,0.0
