Pair,Pearson,Pearson p-value,Spearman,Spearman p-value
feature_1 x feature_1,0.9999999999999998,0.0,1.0,0.0
feature_1 x feature_2,0.017830828311763736,0.5732988098818115,0.02246924246924247,0.4778649167261696
feature_1 x feature_3,-0.01473355027651807,0.6416748930793248,-0.017978093978093978,0.5701354086659124
feature_1 x feature_4,-0.004880416564377044,0.877499180791851,0.00394899994899995,0.9007431318776413
feature_1 x feature_5,0.044524189173792396,0.1594525263821411,0.027440931440931442,0.3860316796755666
feature_1 x feature_6,-0.004159568645444454,0.8954801180120912,-0.016898356898356903,0.5935195457055391
feature_1 x feature_7,0.015053829873275623,0.6344481321687303,0.021227469227469226,0.502534330413559
feature_1 x feature_8,0.0011775949653423706,0.9703317098977255,0.00470984870984871,0.8817485082426024
feature_1 x feature_9,-0.03531531033621363,0.2645422489238403,-0.00876960876960877,0.7817971094502801
feature_1 x feature_10,-0.015597964013683078,0.6222500303414169,-0.016436920436920438,0.6036449625738538
feature_1 x feature_11,0.02440072643652378,0.44084422075042323,0.01598743598743599,0.6135819676244517
feature_1 x feature_12,0.0034380375158422124,0.9135319484808326,-0.00942897342897343,0.7658527517307827
feature_1 x feature_13,0.0009036233437590216,0.9772319875883453,-0.004429552429552431,0.8887388124413813
feature_1 x feature_14,-0.05577379086955713,0.07791929209358,-0.05656652056652056,0.07377844237487778
feature_1 x feature_15,0.011832464205627153,0.708612296975662,0.012445080445080445,0.6942670407719602
feature_1 x feature_16,0.02180196040784665,0.49103846113865995,0.019972195972195975,0.5281390720993309
feature_2 x feature_1,0.017830828311763736,0.5732988098818115,0.02246924246924247,0.4778649167261696
feature_2 x feature_2,1.0,0.0,1.0,0.0
feature_2 x feature_3,-0.00490006767242492,0.8770098401053124,-0.007928827928827929,0.8022610986641321
feature_2 x feature_4,0.008412961199544329,0.7904601337180864,0.013745197745197746,0.6641880969312282
feature_2 x feature_5,-0.013697431970219049,0.6652840444332646,-0.011903831903831904,0.7069356851594977
feature_2 x feature_6,0.03372007425303854,0.28674396958016707,0.030547902547902545,0.3345315360145168
feature_2 x feature_7,-0.026044847759091532,0.4106673212932131,-0.04000690000690001,0.20621099953874916
feature_2 x feature_8,0.009069976869258551,0.7745219845907726,-0.001434877434877435,0.9638537758935452
feature_2 x feature_9,-0.0007778744715728849,0.9803997126188829,-0.004639612639612639,0.8834992828787891
feature_2 x feature_10,0.010095504678641485,0.7498351612421966,0.013000993000993003,0.6813433884583098
feature_2 x feature_11,0.03368379330464691,0.28726310644265424,0.026206682206682208,0.40776467076051826
feature_2 x feature_12,0.02012720106301227,0.524941776285397,0.028001656001656,0.376396114184106
feature_2 x feature_13,-0.016406799607698596,0.6043085988282996,-0.008036144036144036,0.7996412299722586
feature_2 x feature_14,-0.036046183196033504,0.2547762250484472,-0.044509136509136515,0.15959377300641248
feature_2 x feature_15,-0.030418793939943647,0.33657932260024964,-0.041546249546249546,0.18927348333056013
