Pair,Pearson,Pearson p-value,Spearman,Spearman p-value
axis_1 x axis_1,1.0,0.0,1.0,0.0
axis_1 x axis_2,0.8622151853012254,4.708466350296265e-297,0.8743260583260584,1.360060906e-315
axis_1 x axis_3,0.9040202775321928,0.0,0.9110849150849152,0.0
axis_1 x axis_4,0.9152155465062571,0.0,0.9205457365457367,0.0
axis_1 x axis_5,0.9238073285123746,0.0,0.928838596838597,0.0
axis_2 x axis_1,0.8622151853012254,4.708466350296265e-297,0.8743260583260584,1.360060906e-315
axis_2 x axis_2,0.9999999999999998,0.0,1.0,0.0
axis_2 x axis_3,0.8942569863045915,0.0,0.9031197031197031,0.0
axis_2 x axis_4,0.9108158368110295,0.0,0.9161357681357682,0.0
axis_2 x axis_5,0.9202595399153453,0.0,0.9264517704517705,0.0
axis_3 x axis_1,0.9040202775321928,0.0,0.9110849150849152,0.0
axis_3 x axis_2,0.8942569863045915,0.0,0.9031197031197031,0.0
axis_3 x axis_3,0.9999999999999999,0.0,1.0,0.0
axis_3 x axis_4,0.9477484707332812,0.0,0.9511748671748673,0.0
axis_3 x axis_5,0.955362046599811,0.0,0.9586847026847026,0.0
axis_4 x axis_1,0.9152155465062571,0.0,0.9205457365457367,0.0
axis_4 x axis_2,0.9108158368110295,0.0,0.9161357681357682,0.0
axis_4 x axis_3,0.9477484707332812,0.0,0.9511748671748673,0.0
axis_4 x axis_4,1.0,0.0,1.0,0.0
axis_4 x axis_5,0.9736262356239953,0.0,0.9753059673059674,0.0
axis_5 x axis_1,0.9238073285123746,0.0,0.928838596838597,0.0
axis_5 x axis_2,0.9202595399153453,0.0,0.9264517704517705,0.0
axis_5 x axis_3,0.955362046599811,0.0,0.9586847026847026,0.0
axis_5 x axis_4,0.9736262356239953,0.0,0.9753059673059674,0.0
axis_5 x axis_5,1.0,0.0,1.0,0.0
